padre,codigo,nombre,codigo_rubro,cuenta_contable_debito,cuenta_contable_credito,fecha_creacion,cabeza,fecha_expiracion,descripcion,tipo_concepto,afectacion_presupuesto_ingreso,afectacion_presupuesto_egreso,afectacion_contabilidad_ingreso,afectacion_contabilidad_egreso
1,2,NOMINA DOCENTES,,,,2017-07-27,TRUE,,,2,,,,
,2-1,SUELDO BASICO,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,2-2,GTOS  REPRESENTACION,3-1-001-01-01-04,5-1-01-05-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,2-3,SUELDO VACACIONES,3-1-2-1-01-01,7-2-08-03-17,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-4,PRIMA SEMESTRAL,3-1-2-1-01-11,2-7-15-04-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-5,PRIMA DE VACACIONES,3-1-2-1-01-14,2-7-15-06-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-6,PRIMA DE NAVIDAD,3-1-2-1-01-13,2-7-15-09-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-7,VACACIONES EN DINERO,3-1-2-1-01-01,2-7-15-06-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-8,INTERESES CESANTIAS,3-1-2-1-03-01-02,2-7-15-02-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-9,CESANTIAS PARCIALES,3-1-2-1-03-01-02,2-7-15-01-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-10,CESANTIAS,3-1-2-1-03-01-02,2-7-15-01-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-11,BONIFICACION POR SERVICIO,3-1-2-1-01-08,2-7-15-07-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-12,RELIQ. SUELD.  VACACION,3-1-2-1-01-01,7-2-08-03-17,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-13,AJUSTE  BONIF.  SERVICIOS,3-1-2-1-01-08,2-7-15-07-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-14,AJUSTE SUELDO,3-1-2-1-01-01,7-2-08-03-01,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-15,AJUSTE  SUELDO  VACAC.,3-1-2-1-01-01,7-2-08-03-17,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-16,AJUSTE  PRIMA  SERVIC.,3-1-2-1-01-11,2-7-15-04-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-17,AJUSTE  PRIMA  VACAC.,3-1-2-1-01-14,2-7-15-06-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-18,AJUSTE  PRIMA  NAVIDAD,3-1-2-1-01-13,2-7-15-09-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-19,INTERESES  CESANTIAS,3-1-2-1-03-01-02,2-7-15-02-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-20,AJUSTE INTER  CESANT.,3-1-2-1-03-01-02,2-7-15-02-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-21,AJUSTE CESANT PARCIA,3-1-2-1-03-01-02,2-7-15-01-02,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-22,AJUSTE SUELDO RETROACTIVO,3-1-2-1-01-01,7-2-08-03-01,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
,2-23,AJUSTE FAV INCAPACIDAD,3-1-2-1-01-01,7-2-08-03-01,2-5-05-01-07,2017-07-27,FALSE,,,2,X,X,X,X
