padre,codigo,nombre,codigo_rubro,cuenta_contable_debito,cuenta_contable_credito,fecha_creacion,cabeza,fecha_expiracion,descripcion,tipo_concepto,afectacion_presupuesto_ingreso,afectacion_presupuesto_egreso,afectacion_contabilidad_ingreso,afectacion_contabilidad_egreso
1,1,NOMINA ADMINISTRATIVOS,,,,2017-07-27,TRUE,,,2,,,,
,1-1,SUELDO BASICO,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-2,GTOS  REPRESENTACION,3-1-001-01-01-04,5-1-01-05-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-3,SUBSIDIO FAMILIAR,3-1-001-01-02-99-0002,5-1-02-02-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-4,SUBSIDIO TRANSPORTE,3-1-001-01-01-06,5-1-01-23-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-5,SUELDO VACACIONES ,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-6,PRIMA TECNICA,3-1-001-01-01-15,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-7,PRIMA DE SERVICIOS,3-1-001-01-01-11,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-8,PRIMA DE VACACIONES,3-1-001-01-01-14,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-9,PRIMA DE NAVIDAD,3-1-001-01-01-13,5-1-01-14-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-10,PRIMA ALIMENTACION,3-1-001-01-01-07,5-1-01-60-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-11,QUINQUENIO,3-1-001-01-01-22,5-1-01-64-05-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-12,PRIMA DE ANTIGUEDAD,3-1-001-01-01-16,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-13,SUBSIDIO LIBROS,3-1-001-01-01-20-0001,5-1-01-30-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-14,INTERESES CESANTIAS,3-1-001-01-03-01-02,5-1-01-25-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-15,CESANTIAS PARCIALES,3-1-001-01-03-02-0002,5-1-01-24-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
